Relatório de palavras-chave da rede de pesquisa
1 de janeiro de 2026 - 9 de março de 2026
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Grupo de anúncios,Status,Motivos do status,Conversões,Código da moeda,Custo / conv.,URL final,Cliques,Impr.,CTR,CPC méd.,Custo,Taxa de conv.
Ativado,"""detetive privado""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""detetive profissional""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""telefone detetive particular""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""detetive particular""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""contratar detetive particular""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""investigador profissional""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""investigador particular""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""agencia detetive particular""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""detetive recife""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""detetive particular recife""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""detetive profissional recife""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,raramente exibido; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""detetive particular preço""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""detetive particular valor""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""detetive particular infidelidade""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""serviço detetive particular""",Correspondência de frase,Infidelidade | Max Conversão | Geral #2,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""detetive recife preço""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; raramente exibido; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""detetive recife""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""detetive particular valores""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""Investigador Particular Recife""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""agencia de detetive""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""detetive investigativo""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""Detetive Recife""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""detetive whatsapp""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""agencia detetive particular""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""contratar detetive""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""Detetive Particular em Recife""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,detetive particular em recife pe,Correspondência ampla,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""detetive particular infidelidade""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""detetive em caruaru""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""Contratar Detetive Particular""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""detetives particulares em recife""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""eu preciso de um investigador particular""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; raramente exibido; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""Contratar Detetive Particular Valor""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; raramente exibido; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""Detetive Particular Valores""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Não qualificado,grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Pausado,"""detetive particular recife preço""",Correspondência de frase,Institucional | Parc Impre | Região Metrop,Pausado,pausado; raramente exibido; grupo de anúncios pausado,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
